mode,curve,iterations,warmup,repetitions,operation,mean_us,median_us,stddev_us,throughput_ops_s
single,prime192v1 (NIST P-192),1000,100,10,sign,6096.483906,6093.312787,12.961071,164.028974
single,prime192v1 (NIST P-192),1000,100,10,verify,2693.669886,2692.818438,4.789335,371.240739
single,secp224r1 (NIST P-224),1000,100,10,sign,1827.983446,1828.000331,0.378052,547.050906
single,secp224r1 (NIST P-224),1000,100,10,verify,786.333683,785.679355,1.535055,1271.724742
single,prime256v1 (NIST P-256),1000,100,10,sign,1516.842256,1514.441507,7.612435,659.264334
single,prime256v1 (NIST P-256),1000,100,10,verify,649.326046,649.401003,0.332524,1540.058352
single,secp256k1 (Bitcoin),1000,100,10,sign,10475.560138,10470.525887,16.548868,95.460289
single,secp256k1 (Bitcoin),1000,100,10,verify,4621.532286,4618.279913,16.019078,216.378452
single,secp384r1 (NIST P-384),1000,100,10,sign,8990.781750,8989.241372,2.450181,111.225033
single,secp384r1 (NIST P-384),1000,100,10,verify,3897.742447,3897.580295,0.451026,256.558768
single,secp521r1 (NIST P-521),1000,100,10,sign,13370.402253,13369.930716,2.886455,74.792065
single,secp521r1 (NIST P-521),1000,100,10,verify,5802.893548,5802.697019,1.194831,172.327821
single,brainpoolP256r1,1000,100,10,sign,9533.597379,9531.601851,5.144573,104.892200
single,brainpoolP256r1,1000,100,10,verify,4221.402612,4220.321010,4.087399,236.888090
single,brainpoolP384r1,1000,100,10,sign,25076.231767,25073.658383,7.465747,39.878400
single,brainpoolP384r1,1000,100,10,verify,11087.879954,11087.057055,12.689213,90.188567
