implementation,curve_tag,curve_name,threads,iterations,warmup,repetitions,operation,dataset,mean_us_op,median_us_op,stddev_us_op,throughput_ops_s,failures,accepted,rejected,mismatches
PB-SDVSS-OpenSSL-OpenMP,p192,prime192v1 (NIST P-192),4,5000,500,10,PB-SDVSS.Sign,,1534.199389,1531.839245,6.512505,651.805761,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,p192,prime192v1 (NIST P-192),4,5000,500,10,PB-SDVSS.Verify,A-valid,676.809658,674.621751,6.185689,1477.520286,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,p192,prime192v1 (NIST P-192),4,5000,500,10,PB-SDVSS.Verify,B-invalid,675.705233,673.053308,5.183554,1479.935261,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,p192,prime192v1 (NIST P-192),4,5000,500,10,PB-SDVSS.Verify,C-mixed,675.904116,674.329841,3.163796,1479.499794,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,p224,secp224r1 (NIST P-224),4,5000,500,10,PB-SDVSS.Sign,,462.525485,459.896802,6.388119,2162.043028,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,p224,secp224r1 (NIST P-224),4,5000,500,10,PB-SDVSS.Verify,A-valid,197.568085,197.471375,0.189648,5061.546239,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,p224,secp224r1 (NIST P-224),4,5000,500,10,PB-SDVSS.Verify,B-invalid,198.534796,197.160629,3.269338,5036.900422,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,p224,secp224r1 (NIST P-224),4,5000,500,10,PB-SDVSS.Verify,C-mixed,208.683627,198.377187,25.065465,4791.942792,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,p256,prime256v1 (NIST P-256),4,5000,500,10,PB-SDVSS.Sign,,381.867005,380.777876,2.590484,2618.712766,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,p256,prime256v1 (NIST P-256),4,5000,500,10,PB-SDVSS.Verify,A-valid,163.463001,163.599929,0.303123,6117.592335,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,p256,prime256v1 (NIST P-256),4,5000,500,10,PB-SDVSS.Verify,B-invalid,163.267665,163.378183,0.222078,6124.911517,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,p256,prime256v1 (NIST P-256),4,5000,500,10,PB-SDVSS.Verify,C-mixed,171.274861,163.967001,16.812981,5838.568456,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,k256,secp256k1 (Bitcoin),4,5000,500,10,PB-SDVSS.Sign,,2629.607605,2627.682536,7.974464,380.284875,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,k256,secp256k1 (Bitcoin),4,5000,500,10,PB-SDVSS.Verify,A-valid,1158.011239,1156.935326,3.991531,863.549477,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,k256,secp256k1 (Bitcoin),4,5000,500,10,PB-SDVSS.Verify,B-invalid,1159.222038,1156.550821,8.977070,862.647506,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,k256,secp256k1 (Bitcoin),4,5000,500,10,PB-SDVSS.Verify,C-mixed,1157.583600,1155.402256,6.927165,863.868493,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,p384,secp384r1 (NIST P-384),4,5000,500,10,PB-SDVSS.Sign,,2355.663395,2259.868379,185.229686,424.508867,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,p384,secp384r1 (NIST P-384),4,5000,500,10,PB-SDVSS.Verify,A-valid,982.045830,979.445178,7.473705,1018.282416,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,p384,secp384r1 (NIST P-384),4,5000,500,10,PB-SDVSS.Verify,B-invalid,980.548315,978.120784,6.870421,1019.837559,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,p384,secp384r1 (NIST P-384),4,5000,500,10,PB-SDVSS.Verify,C-mixed,982.656155,980.529401,7.107291,1017.649964,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,p521,secp521r1 (NIST P-521),4,5000,500,10,PB-SDVSS.Sign,,3363.886618,3362.938444,9.685736,297.275180,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,p521,secp521r1 (NIST P-521),4,5000,500,10,PB-SDVSS.Verify,A-valid,1461.596446,1457.767214,9.975088,684.183382,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,p521,secp521r1 (NIST P-521),4,5000,500,10,PB-SDVSS.Verify,B-invalid,1460.490984,1457.185743,8.849320,684.701249,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,p521,secp521r1 (NIST P-521),4,5000,500,10,PB-SDVSS.Verify,C-mixed,1462.357034,1458.832019,10.452912,683.827531,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,bp256,brainpoolP256r1,4,5000,500,10,PB-SDVSS.Sign,,2391.828883,2389.037052,8.727610,418.090110,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,bp256,brainpoolP256r1,4,5000,500,10,PB-SDVSS.Verify,A-valid,1053.769457,1051.457411,7.023765,948.974174,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,bp256,brainpoolP256r1,4,5000,500,10,PB-SDVSS.Verify,B-invalid,1054.844932,1054.559516,3.371733,948.006640,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,bp256,brainpoolP256r1,4,5000,500,10,PB-SDVSS.Verify,C-mixed,1056.804083,1053.549219,8.771291,946.249183,0,2500,2500,0
PB-SDVSS-OpenSSL-OpenMP,bp384,brainpoolP384r1,4,5000,500,10,PB-SDVSS.Sign,,6293.307596,6291.794853,8.902438,158.898955,0,0,0,0
PB-SDVSS-OpenSSL-OpenMP,bp384,brainpoolP384r1,4,5000,500,10,PB-SDVSS.Verify,A-valid,2784.284221,2780.256099,8.402204,359.158736,0,5000,0,0
PB-SDVSS-OpenSSL-OpenMP,bp384,brainpoolP384r1,4,5000,500,10,PB-SDVSS.Verify,B-invalid,2790.148223,2786.135784,12.939941,358.403898,0,0,5000,0
PB-SDVSS-OpenSSL-OpenMP,bp384,brainpoolP384r1,4,5000,500,10,PB-SDVSS.Verify,C-mixed,2786.254958,2781.468092,10.476979,358.904700,0,2500,2500,0
